character,dialogue
Phoebe," Tamam, dur! Larry, tamam, Larry olamaz mısın, sağlık müfettişi Larry değil? Yani ilk başta gerçekten heyecan vericiydi ama şimdi, tamam, peki nerede yemek yiyeceğiz?"
Larry, Sanırım onu ​​uyarabilirim.
Phoebe," Teşekkür ederim.  Tamam, hadi! Hadi! Hadi!   Şimdi, akşam yemeğinden sonra hala birini yakalamanız gerekiyorsa, burnunu karıştıran bir sosisli sandviç satıcısı tanıyorum."
Joey," Belki, belki de iyi bir şey yaptık, Ross'un ayağa kalkmasına yardım ettik!"
Chandler," Evet, güzel bir yerdi!"
Joey, Evet!
Chandler, Çok fazla dolap alanı yok ama eşyalarını bir çantada pencereden dışarı asabilir!
Joey, Evet!
Chandler, Ne yapacağız?
Joey, Bilmiyorum. Belki pizza?
Chandler, Ross hakkında!
Joey, Oh! Oh!
Joey," Merhaba!  Oh evet!  Apartman yöneticisi; Ross bizi referans olarak gösterdi.  Ross tanışabileceğiniz en harika adam! Evet, çok güvenilir."
Chandler,"  Elbette kocaman kocaman bir köpeği var! O, geceye doğru havlıyor.  Peki, köpekleri kim sevmez ki?  Ah, o bir step dansçısı!  Evet, bazıları bunun kaybolmuş bir sanat olduğunu söyleyebilir.  O bir pezevenk!  İşte oldu! Evet, o bir pezevenk. O büyük, step dansı yapan bir pezevenk!  Alo?"
Chandler, Ohhhhh!
Rachel," Vur, vur, bu asla işe yaramayacak! O hemen orada!"
Monica, Sadece gidip merhaba de.
Rachel," Hayır, aşağı inip sanki regatta galasından eve dönüyormuşum gibi yukarı çıkmam gerek. Tamam mı? O yüzden git ve dikkatini dağıt. Ama seksi olma."
Monica," Hey, Danny!"
Danny, Hey! Neler oluyor?
Monica,"  Oh, harika bir parti! Harika yemekler. Bilirsin, çoğu partide cips ve salsa, cips ve salsa vardır.   Eee, bu ne?"
Danny, Salata.
Monica, Ooooh!  Ve-ve-ve-bu ne?
Danny, Ekmek. Sen aşçı değil misin?
Monica,  Oh.
Danny, Hey! Rachel!
Rachel," Hey! Ah doğru, bu gece senin partindi."
Danny," Vay canına, harika görünüyorsun! Gelebildiğine sevindim."
Rachel," Ah, bilirsin ya, gala bir ara bitmeliydi."
Danny," Hiçbir yere gitme, hemen döneceğim."
Rachel," Evet, tabii.  Tamam, top şimdi kimin sahasında?"
Monica, Top olmadığını sanıyordum?
Rachel," Hadi canım! Geldiğim için mutlu, hiçbir yere gitmemi istemiyor, toplar her yere uçuşuyor!"
Danny,"  Rachel, bu arkadaşım Tom.  Sana bahsettiğim kız bu."
Rachel, Hadi canım! İnsanlara benden mi bahsediyorsun?
Danny, İkiniz gerçekten iyi anlaşabilirsiniz! Ben kaynaşmaya gidiyorum.
Tom," Yani Bloomingdale'de çalışıyorsun, öyle mi? Annem ona Bloomies diyor."
Rachel,"  Tamam, tamam, rahat ol asker!"
Tom, Özür dilerim?
Rachel," Hayır, sorun değil, rol yapmayı bırakabilirsin Tommy. Burada neler döndüğünü biliyorum. Danny'nin sağ kolusun, değil mi? Sizler en iyi arkadaşlarsınız. Kardeşlik kardeşleri!"
Tom," Şey, bir arkadaşımla konuşmaya gidiyorum."
Rachel," Evet, evet, sen gidip arkadaşınla konuş. Ona ""İyi denemeydi."" de."
Rachel, Dostum! O onları havaya fırlatmaya devam ediyor ve ben de onları parkın dışına atmaya devam ediyorum!
Monica, Sanırım bir içkiye ihtiyacım var.
Rachel, Evet!
Chandler," 98. 99. 100. Tamam, git!"
Joey,"  Dostum, sana söylüyorum! İyiyim!"
Chandler, İşte gidiyoruz! İşte gidiyoruz!
Joey, Hey!
Chandler, Hey!
Ross," Hey. Yani ben şey, o daireyi alamadım. Başvurumda bir sorun var."
Joey, Şaka yapıyorsun!
Chandler," Şaka yapıyorsun, hayır!"
Ross, Evet. Ama iyi haber şu ki Phoebe bir süre onun evinde kalabileceğimi söyledi. Yani...
Joey," Ama Phoebe ile kalamazsın, Ross! Biz-biz oda arkadaşıyız!"
Ross," Bakın, sizin yerinizi kaplamama gerek yok."
Joey," Eh, bolca yerimiz var! Orada-orada hala biraz var  hoparlörün yanında. Lütfen, sadece kal!"
Chandler, Evet!
Ross, Bundan emin misiniz?
Joey, Kesinlikle!
Chandler," Evet! Ross, kalmalısın!"
Ross, Atamam.
Joey, Tamam!
Chandler," Tamam, dostum!"
Ross," Yani ben bir pezevengim, öyle mi? Sorun değil! Bak, bazen can sıkıcı olabileceğimi biliyorum, ama benimle konuşman gerek. Seni rahatsız eden bir şey varsa söyle. Tamam mı? Ve ben de sinir bozucu alışkanlıklarımı  tutmak için elimden gelen her şeyi yapacağım."
Chandler, Görüyorum ki çok üretken bir gün geçirmişsin. Kovboy şapkasının biraz fazla olduğunu düşünmüyor musun?
Ross,"  Hadi, eğlenceli!"
Chandler, Tamam!  Bu bir kadın şapkası değil mi?
Joey," Dostum, saçma sapan konuşmayı bırak ve bize çay yap!"
Rachel," Ah Monica, bu şimdiye kadarki en iyi Şükran Günü yemeğiydi! Sanırım bizi öldürdün."
Ross, Bir lokma daha yiyemem.
Joey, Tatlı bir şeye ihtiyacım var.
Phoebe, Televizyon izlemek isteyen var mı?
Hepsi," Evet, tabii."
Phoebe," Monica, kumandan çalışmıyor."
Monica," Phoebe, kaldırıp işaret etmelisin."
Phoebe," Ah. Ah, unut gitsin."
Rachel," Evet, hepimizin ne yapması gerektiğini biliyor musun? Herkesin minnettar olduğu bir şeyi söylediği o oyunu oynamalıyız."
Joey," Ooh-ooh, ben! Yaşadığımız bu güzel sonbahar için minnettarım."
Monica, Çok güzel.
Chandler," Bu çok tatlı, Joey."
Joey," Evet, geçen gün otobüs durağındaydım ve birdenbire gelen güzel bir sonbahar esintisi bu kızın eteğini havaya kaldırdı. Oh! Bu da bana, tanga için de minnettar olduğumu hatırlattı."
Joey," Yani, bu bir külottan çok bir mühendislik başarısı. Yani, bu kadar az malzemeyle ne kadar çok şey yapabildikleri inanılmaz! Ve zihninizle oynama biçimleri! Orada mı? Orada değil mi?"
Chandler, Hala konuştuğunun farkında mısın?
Monica, Tanga dışında başka bir şey için minnettar olan var mı?
Ross," Ha, ne seçeceğimi bilmiyorum. Boşanmam için mi yoksa tahliye edilmem için mi daha minnettarım? Hmm."
Phoebe," Vay canına! Bak, ve senin bir şey bulabileceğini düşünmemiştim."
Ross, Üzgünüm. Sadece bu şimdiye kadarki en kötü Şükran Günü.
Chandler, Hayır-hayır-hayır! Ben kötü Şükran Günlerinin kralıyım. Kötü evliliğinle gelip bunu benden alamazsın.
Rachel," Ah, annenle babanın nasıl boşandığına dair tüm hikayeyi tekrar anlatmayacaksın değil mi?"
Ross," Aman Tanrım, hayır."
Joey," Ah, hadi ama! Duymak istiyorum! Chandler bizi üzmeden Şükran Günü olmazdı!"
Chandler," Bu bir gelenek, geçit töreni gibi. Geçit töreni eşcinsel olduğuna karar verip, taşınıp tüm ailesini terk ederse."
Bayan Bing," Şimdi Chandler canım, babanla boşanıyor olmamız seni sevmediğimiz anlamına gelmiyor. Sadece onun benimle yatmaktansa uşakla yatmayı tercih ettiği anlamına geliyor."
Ev Hanımı, Daha fazla hindi mi Bay Chandler?
Ross, Haklısın. Seninki daha kötü. Sen kötü Şükran Günlerinin kralısın.
Phoebe, Bunu bilmiyorum. Benim daha kötü bir tane var.
Chandler," Gerçekten mi? ""Daha fazla hindi Bay Chandler?""dan daha kötü."
Phoebe," Ah, küçük zengin oğlanın uşakla bir sorunu mu vardı? Evet, benimki daha kötü!"
Ross," Bu hayatta, Phoebe."
Phoebe," Ah, bu hayatta! Ah tamam hayır, Chandler'ınki daha kötü."
Joey," Dostum, böyle şeyleri hatırlamak çok harika olmalı! Benim geçmiş yaşam anılarım yok."
Phoebe, Elbette yok tatlım. Sen yepyenisin.
Rachel, Monica'nın en kötü Şükran Günü'nü biliyorum.
Monica," Ah, hadi bu hikayeyi anlatmayalım."
Hepsi," Ah, hadi ama!"
Phoebe," Ah hayır, biliyorum! Biliyorum! Joey'nin Monica'nın hindisini kafasına taktığı hikaye!"
Rachel, Ne?! Joey'nin kafasına hindi mi takılmış?!
Joey," Hey, kulağa geldiği gibi değil."
Chandler, Tam olarak kulağa geldiği gibi.
Joey,  Merhaba?
Phoebe,  Merhaba?
Joey, Phoebe?
Phoebe, Joey? Neler oluyor?
Joey, Bak.
Phoebe, Aman Tanrım!
Joey, Biliyorum! Sıkışmış!!!
Phoebe,  Sakin ol. Adım. Nasıl oldu?
Joey, Chandler'ı korkutmak için taktım!
Phoebe, Aman Tanrım! Monica tamamen çıldıracak!
Joey," O zaman çıkarmama yardım et! Ayrıca, burada gerçekten kötü kokuyor."
Phoebe," Elbette, gerçekten kötü kokuyor. Kafanı ölü bir hayvanın içine sokmuşsun."
Monica,  Hey!
Phoebe, Hey!
Monica," Hey, hindiyi sosladın mı? Aman Tanrım! Aman Tanrım!  O kim?"
Joey, Joey bu.
Monica, Ne-ne yapıyorsun? Bunun komik olması mı gerekiyor?
Phoebe," Hayır, komik olması gerekmiyor, korkutucu olması gerekiyor."
Monica," Hadi, hemen çıkar onu!"
Joey, Yapamam! Sıkışmış!
Monica," Neyse, umurumda değil! O-o hindi annemin evindeki 20 kişiyi doyurmak zorunda ve onlar senin kafandan yiyemezler!"
Phoebe," Tamam, bekle! Tamam, hadi hep birlikte düşünelim."
Monica," Tamam, anladım. Phoebe? Tamam, sen çek. Bacaklarımı olabildiğince açacağım.  Joey? Şimdi zamanı değil!"
Joey, Üzgünüm! Üzgünüm.
Monica," Tamam, üçe kadar say. 1. 2. 3!"
Chandler, Arghhhhhh!!
Joey,"  İşe yaradı! Seni korkuttum, biliyordum! Ha-ha!"
Chandler, Buradayım iri adam.
Joey,"  Evet, öylesin!  Seni korkuttum!"
Chandler,  Gerçekten de aptal gibi görünüyordun.
Joey," Hey, aptal gibi görünen tek kişi ben değildim. Tamam mı? Ross'un ""Butternut squash"" demeye çalıştığını ve ""Squatternut buash"" diye çıktığını hatırlıyor musun?"
Ross," Evet, aynı şey."
Monica, İşte bu. Bu benim en kötü Şükran Günü'm.
Phoebe," Ah, bekle! Rachel'ın bahsettiği bu olamaz. Bunun olduğunu bile bilmiyordu. Peki hangisiydi?"
Hepsi, Hangisi?
Monica," Şey, ben-ben gerçekten bu hikayeyi anlatmak istemiyorum."
Chandler," Hadi ama Monica, geçmiş acıları tekrar yaşamak ve depresyona girmek Şükran Günü'nün anlamıdır. Bilirsin, en azından benim için. Ve tabii ki Kızılderililer."
Monica," Bak şey, tüm insanlar arasında, sen benim bu hikayeyi anlatmamı istemezsin!"
Bayan Geller, Monica! Sanırım Rachel burada!
Monica, Ben alırım!  Şükran Günü'nüz kutlu olsun!
Büyük Burunlu Rachel, Benim için değil. Chip ve ben ayrıldık!
Şişman Monica," Ah, neden? Neden? Ne oldu?"
Büyük Burunlu Rachel," Şey, biliyorsun ki ailem şehir dışında ve Chip gelecekti..."
Şişman Monica," Evet, evet ve sen ona gidiyordun, bilirsin işte, çiçeğin."
Büyük Burunlu Rachel," Tamam, Monica, buna seks diyebilir misin?! Buna seks dediğin zaman gerçekten ürperiyorum! Tamam, bu arada, bu konudayken, bir erkeğin şeyine şefkat denmez. İnan bana!  Merhaba!"
Bay Geller, Merhaba Rachel!
Büyük Burunlu Rachel, Şükran Günü'nüz kutlu olsun!
Bayan Geller, Sana da tatlım!
Ross,  Hey!
Bay Geller, Aman Tanrım!
Ross," Ah, millet, bu Chandler! Oda arkadaşım ve grubumuzun solisti!"
Şişman Monica, Ross!
Ross," Ah, bu Monica."
Şişman Monica," Merhaba, ben Ross'un küçük kız kardeşiyim."
Chandler,  Tamam.
Bayan Geller," Gelebildiğin için çok mutluyum Chandler, bolca yemeğimiz var, umarım açsındır."
Ross," Ah, anne. Anne. Chandler Şükran Günü'nden nefret ediyor ve Şükran Günü yemeği yemiyor."
Bayan Geller," Ah, peki, onu buraya getirdiğin için çok mutluyum."
Şişman Monica," Şey, Chandler, istersen sana akşam yemeği için makarna ve peynir yapabilirim."
Chandler, Hacılar yemediği sürece ben de varım.
Şişman Monica, Kahretsin!
Ross," Ee, Rach? Öyle mi, burada garip mi hissediyorsun? Üniversitede uzakta olduğumdan beri."
Büyük Burunlu Rachel," Ah! Hayır, pek değil."
Ross," Şey, bu harika. Öyle de yaptı..."
Büyük Burunlu Rachel, Ugh! Chip'in beni o sürtük Nancy Branson için terk ettiğine inanamıyorum. Bir daha asla onunla çıkmayacağım. Ne kadar yalvarırsa yalvarsın umurumda değil!
Şişman Monica, Sanırım Nancy Branson'la çıktığına göre yalvarma günleri sona erdi.
Büyük Burunlu Rachel," Biliyor musun? Liseli çocuklardan bıktım! Çok aptallar.  Aptal, aptal çocuklar! Erkeklerle çıkmaya başlayacağım!"
Ross," Şey, üzgünüm Judy, senin ve Jack'in aradığı kaseyi bulamadım."
Şişman Monica," Onlara anne ve baba de, seni kaybeden!"
Ross,  Monica!
Şişman Monica, Hey Chandler! Makarna ve peyniri beğendin mi?
Chandler," Ah evet, harikaydı. Şef olmalısın."
Şişman Monica, Tamam!
Büyük Burunlu Rachel," Tahmin et bakalım?! Nancy Branson'ın bir orospu olduğuyla ilgili tüm o şeyler bir söylentiydi, bu yüzden Chip onu terk etti ve bu gece evime gelmek istiyor!"
Şişman Monica, Ah bu çok harika!
Büyük Burunlu Rachel, Biliyorum!
Şişman Monica," Aman Tanrım, dinle, eğer sen ve Chip bu gece yaparsanız, bana her şeyi anlatacağına söz ver."
Büyük Burunlu Rachel," Ah kesinlikle, kesinlikle. Biliyor musun, o kadar da önemli bir şey değil, zaten bir kere yaptık."
Şişman Monica," Biliyorum, ama biliyorsun, bu sefer yapıp yapmadığını kesinlikle bileceksin!"
Büyük Burunlu Rachel," Biliyorum, biliyorum. Ve oh, ve bu sefer Chip buna söz verdi - bu sefer en azından bir şarkı boyunca sürecek!"
Ross," Bu gece Rachel'ı dışarı davet etmeyi düşünüyorum. Biliyor musun, belki ona geçen hafta yazdığımız şarkıyı çalabiliriz."
Chandler, Duygusal Sırt Çantası?
Ross, Evet.
Chandler," Kesinlikle! Oh! Ama çok uzun sürmesin, tamam mı? Çünkü şey, bu gece sahte kimliklerimizi test edeceğiz, değil mi Clifford Alverez."
Ross," Dinle, Roland Chang, eğer her şey yolunda giderse, bütün gece onunla dışarıda olacağım."
Chandler," Dostum, bana bunu yapma!"
Ross," Tamam, burada kalabilmen harika. Ailem aldırmaz."
Chandler," Hayır, sorun bu değil, sadece bütün gece burada senin şişman kız kardeşinle sıkışıp kalmak istemiyorum."
Ross, Hey!
Bayan Geller,"  Monica, neden şu turtaları bitirmiyorsun? Buzdolabımda yer kalmadı."
Şişman Monica," Hayır. Hayır, teşekkür ederim!"
Bay Geller," Tamam Judy, başardın! O iyiBayan Geller: Monica! Sanırım Rachel burada!"
Monica, Ben alırım!  Şükran Günü'nüz kutlu olsun!
Büyük Burunlu Rachel, Benim için değil. Chip ve ben ayrıldık!
Şişman Monica," Ah, neden? Neden? Ne oldu?"
Büyük Burunlu Rachel," Şey, biliyorsun ki ailem şehir dışında ve Chip gelecekti..."
Şişman Monica," Evet, evet ve sen ona gidiyordun, bilirsin işte, çiçeğin."
Büyük Burunlu Rachel," Tamam, Monica, buna seks diyebilir misin?! Buna seks dediğin zaman gerçekten ürperiyorum! Tamam, bu arada, bu konudayken, bir erkeğin şeyine şefkat denmez. İnan bana!  Merhaba!"
Bay Geller, Merhaba Rachel!
Büyük Burunlu Rachel, Şükran Günü'nüz kutlu olsun!
Bayan Geller, Sana da tatlım!
Ross,  Hey!
Bay Geller, Aman Tanrım!
Ross," Ah, millet, bu Chandler! Oda arkadaşım ve grubumuzun solisti!"
Şişman Monica, Ross!
Ross," Ah, bu Monica."
Şişman Monica," Merhaba, ben Ross'un küçük kız kardeşiyim."
Chandler,  Tamam.
Bayan Geller," Gelebildiğin için çok mutluyum Chandler, bolca yemeğimiz var, umarım açsındır."
Ross," Ah, anne. Anne. Chandler Şükran Günü'nden nefret ediyor ve Şükran Günü yemeği yemiyor."
Bayan Geller," Ah, peki, onu buraya getirdiğin için çok mutluyum."
Şişman Monica," Şey, Chandler, istersen sana akşam yemeği için makarna ve peynir yapabilirim."
Chandler, Hacılar yemediği sürece ben de varım.
Şişman Monica, Kahretsin!
Ross," Ee, Rach? Öyle mi, burada garip mi hissediyorsun? Üniversitede uzakta olduğumdan beri."
Büyük Burunlu Rachel," Ah! Hayır, pek değil."
Ross," Şey, bu harika. Öyle de yaptı..."
Büyük Burunlu Rachel, Ugh! Chip'in beni o sürtük Nancy Branson için terk ettiğine inanamıyorum. Bir daha asla onunla çıkmayacağım. Ne kadar yalvarırsa yalvarsın umurumda değil!
Şişman Monica, Sanırım Nancy Branson'la çıktığına göre yalvarma günleri sona erdi.
Büyük Burunlu Rachel," Biliyor musun? Liseli çocuklardan bıktım! Çok aptallar.  Aptal, aptal çocuklar! Erkeklerle çıkmaya başlayacağım!"
Ross," Şey, üzgünüm Judy, senin ve Jack'in aradığı kaseyi bulamadım."
Şişman Monica," Onlara anne ve baba de, seni kaybeden!"
Ross,  Monica!
Şişman Monica, Hey Chandler! Makarna ve peyniri beğendin mi?
Chandler," Ah evet, harikaydı. Şef olmalısın."
Şişman Monica, Tamam!
Büyük Burunlu Rachel," Tahmin et bakalım?! Nancy Branson'ın bir orospu olduğuyla ilgili tüm o şeyler bir söylentiydi, bu yüzden Chip onu terk etti ve bu gece evime gelmek istiyor!"
Şişman Monica, Ah bu çok harika!
Büyük Burunlu Rachel, Biliyorum!
Şişman Monica," Aman Tanrım, dinle, eğer sen ve Chip bu gece yaparsanız, bana her şeyi anlatacağına söz ver."
Büyük Burunlu Rachel," Ah kesinlikle, kesinlikle. Biliyor musun, o kadar da önemli bir şey değil, zaten bir kere yaptık."
Şişman Monica," Biliyorum, ama biliyorsun, bu sefer yapıp yapmadığını kesinlikle bileceksin!"
Büyük Burunlu Rachel," Biliyorum, biliyorum. Ve oh, ve bu sefer Chip buna söz verdi - bu sefer en azından bir şarkı boyunca sürecek!"
Ross," Bu gece Rachel'ı dışarı davet etmeyi düşünüyorum. Biliyor musun, belki ona geçen hafta yazdığımız şarkıyı çalabiliriz."
Chandler, Duygusal Sırt Çantası?
Ross, Evet.
Chandler," Kesinlikle! Oh! Ama çok uzun sürmesin, tamam mı? Çünkü şey, bu gece sahte kimliklerimizi test edeceğiz, değil mi Clifford Alverez."
Ross," Dinle, Roland Chang, eğer her şey yolunda giderse, bütün gece onunla dışarıda olacağım."
Chandler," Dostum, bana bunu yapma!"
Ross," Tamam, burada kalabilmen harika. Ailem aldırmaz."
Chandler," Hayır, sorun bu değil, sadece bütün gece burada senin şişman kız kardeşinle sıkışıp kalmak istemiyorum."
Ross, Hey!
Bayan Geller,"  Monica, neden şu turtaları bitirmiyorsun? Buzdolabımda yer kalmadı."
Şişman Monica," Hayır. Hayır, teşekkür ederim!"
Bay Geller," Tamam Judy, başardın! O iyi Bayan Geller: Monica! Sanırım Rachel burada!"
Monica, Ben alırım!  Şükran Günü'nüz kutlu olsun!
Büyük Burunlu Rachel, Benim için değil. Chip ve ben ayrıldık!
Şişman Monica," Ah, neden? Neden? Ne oldu?"
Büyük Burunlu Rachel," Şey, biliyorsun ki ailem şehir dışında ve Chip gelecekti..."
Şişman Monica," Evet, evet ve sen ona gidiyordun, bilirsin işte, çiçeğin."
Büyük Burunlu Rachel," Tamam, Monica, buna seks diyebilir misin?! Buna seks dediğin zaman gerçekten ürperiyorum! Tamam, bu arada, bu konudayken, bir erkeğin şeyine şefkat denmez. İnan bana!  Merhaba!"
Bay Geller, Merhaba Rachel!
Büyük Burunlu Rachel, Şükran Günü'nüz kutlu olsun!
Bayan Geller, Sana da tatlım!
Ross,  Hey!
Bay Geller, Aman Tanrım!
Ross," Ah, millet, bu Chandler! Oda arkadaşım ve grubumuzun solisti!"
Şişman Monica, Ross!
Ross," Ah, bu Monica."
Şişman Monica," Merhaba, ben Ross'un küçük kız kardeşiyim."
Chandler,  Tamam.
Bayan Geller," Gelebildiğin için çok mutluyum Chandler, bolca yemeğimiz var, umarım açsındır."
Ross," Ah, anne. Anne. Chandler Şükran Günü'nden nefret ediyor ve Şükran Günü yemeği yemiyor."
Bayan Geller," Ah, peki, onu buraya getirdiğin için çok mutluyum."
Şişman Monica," Şey, Chandler, istersen sana akşam yemeği için makarna ve peynir yapabilirim."
Chandler, Hacılar yemediği sürece ben de varım.
